2023-06-20 15:15:36 - INFO: Configuring websocket route
2023-06-20 15:15:36 - INFO: Connecting to binance stream...
2023-06-20 15:15:36 - INFO: Subscribing to binance: wss://stream.binance.com:9443/stream?streams=ethbtc@depth5@100ms/bnbeth@depth5@100ms/bnbbtc@depth5@100ms/sushibtc@depth5@100ms/sushibnb@depth5@100ms/solbtc@depth5@100ms/solbnb@depth5@100ms/xrpbtc@depth5@100ms/xrpeth@depth5@100ms/xrpbnb@depth5@100ms/adabnb@depth5@100ms/adabtc@depth5@100ms/adaeth@depth5@100ms
2023-06-20 15:15:36 - DEBUG: Trying to contact wss://stream.binance.com:9443/stream?streams=ethbtc@depth5@100ms/bnbeth@depth5@100ms/bnbbtc@depth5@100ms/sushibtc@depth5@100ms/sushibnb@depth5@100ms/solbtc@depth5@100ms/solbnb@depth5@100ms/xrpbtc@depth5@100ms/xrpeth@depth5@100ms/xrpbnb@depth5@100ms/adabnb@depth5@100ms/adabtc@depth5@100ms/adaeth@depth5@100ms at 52.194.85.220:9443...
2023-06-20 15:15:36 - DEBUG: add_pem_file processed 137 valid and 0 invalid certs
2023-06-20 15:15:36 - DEBUG: No cached session for DNSNameRef("stream.binance.com")
2023-06-20 15:15:36 - DEBUG: Not resuming any session
2023-06-20 15:15:37 - DEBUG: ALPN protocol is None
2023-06-20 15:15:44 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:44 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:44 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:44 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:45 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:45 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:45 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:45 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:45 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:45 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:45 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:45 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:45 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:46 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:46 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:46 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:46 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:46 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:46 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:46 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:46 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:46 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:46 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:47 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:47 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:47 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:47 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:47 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:47 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:47 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:47 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:47 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:47 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:48 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:48 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:48 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:48 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:48 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:48 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:48 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:48 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:48 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:48 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:49 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:49 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:49 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:49 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:49 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:49 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:49 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:49 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:49 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:49 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:50 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:50 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:50 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:50 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:50 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:50 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:50 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:50 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:50 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:50 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:51 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:51 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:51 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:51 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:51 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:51 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:51 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:51 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:51 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:51 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:52 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:52 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:52 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:52 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:52 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:52 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:52 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:52 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:52 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:53 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:53 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:53 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:53 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:53 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:53 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:53 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:53 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:53 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:53 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:54 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:54 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:54 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:54 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:54 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:54 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:54 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:54 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:54 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:54 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:55 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:55 - DEBUG: No clients connected, skip sending data
2023-06-20 15:15:55 - DEBUG: No clients connected, skip sending data
